cgpa,iq,placement
6.88,95,0
8.24,126,1
5.0,127,0
6.36,146,1
5.66,111,0
5.42,130,1
5.84,103,0
6.56,117,1
6.79,139,1
7.42,139,1
6.89,137,1
8.08,103,1
5.92,130,1
8.95,104,1
5.12,135,1
8.02,113,1
6.88,106,0
7.51,118,1
5.63,132,1
5.89,135,1
8.6,93,0
9.36,142,1
6.41,92,0
8.12,104,1
8.94,136,1
9.03,90,1
5.38,119,0
5.18,101,0
5.76,125,1
8.95,143,1
5.44,119,0
6.89,123,1
9.31,92,1
7.4,110,1
8.11,109,1
6.42,138,1
8.09,144,1
8.76,122,1
5.08,118,0
8.38,145,1
9.45,108,1
8.37,121,1
6.26,118,1
8.55,120,1
5.46,100,0
7.02,98,0
9.09,135,1
6.32,125,1
6.29,122,1
5.59,98,0
5.09,110,0
8.05,103,1
5.95,140,1
6.19,105,0
7.21,131,1
5.24,90,0
7.58,134,1
5.66,109,0
7.65,114,1
8.15,139,1
5.46,132,1
6.86,110,0
8.12,134,1
6.86,105,0
5.22,120,0
7.41,117,1
7.99,104,1
7.32,141,1
9.25,109,1
7.64,149,1
9.07,116,1
5.62,133,1
5.63,112,0
8.63,97,1
6.79,125,1
5.74,143,1
9.17,137,1
6.56,136,1
8.38,141,1
8.27,124,1
8.97,126,1
7.81,126,1
8.38,122,1
6.57,109,0
6.21,93,0
9.03,114,1
6.93,109,0
9.34,127,1
7.99,120,1
7.8,128,1
5.52,137,1
9.27,129,1
7.02,95,0
7.6,105,1
6.84,139,1
6.07,113,0
9.07,122,1
7.58,132,1
5.01,100,0
7.78,92,0
6.47,114,0
7.37,124,1
8.99,120,1
6.61,107,0
9.09,94,1
7.81,90,0
5.07,142,1
9.18,104,1
8.11,107,1
9.49,129,1
5.78,125,1
5.62,107,0
9.2,118,1
8.14,112,1
5.3,128,1
8.4,131,1
8.39,100,1
9.15,103,1
8.2,96,0
5.56,115,0
